	gauge_id	A	TIA     Region	Q2	Q5	Q10	Q25	Q50	Q100	Q500	HCIU(n)	HCIU(CN)
27	01645784	2.0	62.38	VA	11.9	17.6	21.7	27.3	31.7	36.2	47.7	0.574	0.635
28	01645900	13.1	50.81	VA	10.3	16.8	22.2	30.4	37.6	46.0	70.4	0.559	0.642
29	01645975	8.3	29.52	VA	34.5	37.4	39.2	41.5	43.2	44.8	48.6	0.267	0.615
30	01646000	149.8	35.77	VA	50.1	95.7	143.7	234.0	330.7	460.7	960.2	0.399	0.615
31	01646200	12.1	61.73	VA	31.3	62.0	91.4	141.6	190.4	250.9	450.5	0.557	0.660
32	01646600	7.5	74.53	VA	17.6	26.4	32.9	42.0	49.4	57.3	78.1	0.728	0.653
33	01646700	21.4	67.85	VA	35.6	59.9	80.7	112.8	141.5	174.8	273.7	0.627	0.634
34	01646750	1.1	90.74	VA	8.1	14.1	19.3	27.6	35.1	43.9	70.5	0.729	0.661
35	01646800	6.0	64.33	VA	27.1	44.9	60.7	85.9	109.3	137.2	224.3	0.630	0.626
36	01652400	2.4	91	VA	19.3	25.7	30.4	36.8	41.9	47.4	61.7	0.781	0.688
37	01652430	2.4	91.8	VA	18.8	29.5	38.6	52.6	65.2	79.9	124.0	0.831	0.694
38	01652470	3.4	93.64	VA	21.1	39.4	56.3	84.5	111.5	144.3	250.1	0.849	0.736
39	01652500	32.6	86.5	VA	84.3	156.3	217.6	311.5	394.2	488.2	758.0	0.776	0.699
40	01652600	7.1	71.83	VA	15.5	32.5	49.2	78.0	106.3	141.4	257.9	0.759	0.677
41	01652610	18.4	63.05	VA	19.9	34.4	47.9	70.3	91.8	118.2	204.8	0.563	0.638
42	01652620	4.9	67.64	VA	19.0	31.4	41.5	56.2	68.7	82.6	121.3	0.670	0.645
43	01652645	1.3	70.99	VA	8.4	8.9	9.2	9.5	9.7	10.0	10.4	0.658	0.669
44	01652650	12.0	71.48	VA	29.4	56.8	82.9	127.4	170.6	224.0	400.4	0.680	0.663
45	01652710	5.4	63.68	VA	15.4	24.7	31.8	42.1	50.6	60.0	85.2	0.522	0.623
46	01652810	5.9	64.51	VA	10.3	15.8	20.4	27.4	33.5	40.6	61.5	0.631	0.643
47	01652910	34.9	73.91	VA	59.7	104.9	142.2	198.2	246.7	301.3	455.1	0.669	0.688
48	01653000	87.7	70.21	VA	118.1	197.5	260.8	353.1	431.3	517.3	753.2	0.660	0.684
49	01653210	6.7	78.74	VA	16.2	23.8	29.6	37.9	44.9	52.5	73.3	0.736	0.647
50	01653447	2.0	81.53	VA	6.1	8.5	10.3	12.8	14.8	17.0	22.6	0.773	0.701
51	01653900	17.8	73.88	VA	36.0	74.3	114.4	189.2	268.1	372.9	762.0	0.714	0.676
52	01653950	3.1	71.38	VA	27.4	43.8	56.8	75.8	91.9	109.6	158.9	0.698	0.660
53	01654000	61.8	62.22	VA	66.8	122.3	170.0	244.0	310.1	386.0	608.0	0.591	0.658
54	01654500	9.6	59.32	VA	12.1	28.0	46.3	82.9	124.3	182.1	417.1	0.513	0.622
55	01655000	96.0	61.81	VA	40.1	59.8	75.8	99.9	120.9	144.8	213.9	0.570	0.652
56	01655310	9.9	64.03	VA	12.5	26.4	41.8	72.0	105.4	151.4	335.3	0.623	0.646
57	01655350	39.3	64.87	VA	24.7	40.6	55.4	80.2	104.2	133.9	232.7	0.561	0.643
58	01655370	9.4	68.32	VA	14.1	26.8	38.3	57.1	74.6	95.5	160.7	0.600	0.638
59	01655380	16.3	30.47	VA	12.9	24.6	35.8	54.8	73.3	96.2	172.4	0.378	0.628
60	01655390	81.0	54.24	VA	44.1	77.5	109.1	163.0	215.7	281.5	503.2	0.480	0.637
61	01656800	20.1	51.67	VA	9.8	11.2	12.0	13.0	13.7	14.4	16.1	0.540	0.612
62	01656960	128.8	52.27	VA	88.3	169.9	240.1	348.3	443.7	552.5	863.1	0.576	0.647
63	01657000	378.1	29.1	VA	193.3	354.0	510.3	784.1	1058.2	1406.5	2617.9	0.481	0.625
64	01657415	478.4	29.55	VA	304.1	564.4	831.4	1322.7	1838.0	2520.5	5065.9	0.455	0.633
65	01657500	1476.7	15.85	VA	312.1	458.4	566.3	715.3	835.3	963.6	1297.5	0.387	0.618
66	01657655	10.2	45.08	VA	15.8	27.3	37.3	53.0	67.4	84.2	135.4	0.430	0.616
67	01657800	11.7	41.39	VA	14.7	21.5	27.0	35.2	42.2	50.2	72.8	0.578	0.627
68	01667600	1.7	12.35	VA	2.2	3.0	3.5	4.3	4.8	5.4	6.9	0.423	0.594
69	01673500	14.9	31.5	VA	3.1	5.6	7.9	11.9	15.8	20.6	36.6	0.414	0.603
70	01673550	66.1	14.95	VA	10.7	24.3	41.1	77.5	121.8	188.5	497.2	0.319	0.603
71	02019400	75.9	13.09	VA	60.7	110.3	154.2	224.4	288.8	364.7	596.4	0.432	0.677
72	02027700	1.2	13.56	VA	1.0	2.0	3.1	5.0	6.9	9.3	17.9	0.176	0.571
73	02030800	7.0	17.31	VA	6.9	11.3	14.8	20.0	24.4	29.3	42.7	0.143	0.608
74	02031000	246.7	11.54	VA	130.3	252.2	352.5	500.1	624.1	759.7	1121.9	0.263	0.604
75	02033500	1303.5	12.41	VA	253.3	346.0	417.7	520.5	606.8	702.0	963.6	0.287	0.604
76	02034000	1716.6	11.83	VA	445.4	821.5	1147.1	1656.3	2112.7	2640.3	4196.6	0.287	0.600
77	02034050	4.1	13.74	VA	5.6	18.0	36.2	81.6	143.3	244.0	773.6	0.331	0.586
78	02037800	47.0	66.61	VA	13.5	29.4	47.1	82.1	121.1	175.4	393.9	0.567	0.629
79	02038000	85.7	58.19	VA	21.9	52.4	87.6	158.3	238.0	349.4	799.1	0.496	0.621
80	02038500	138.2	59.25	VA	30.8	63.6	98.3	163.7	233.5	327.1	680.5	0.530	0.629
81	02042000	363.0	16.99	VA	56.3	131.8	223.1	417.1	647.9	987.4	2494.4	0.317	0.589
82	02042287	161.0	23.7	VA	45.4	86.5	125.7	192.6	258.0	339.2	610.2	0.413	0.616
83	02042426	97.0	66.86	VA	55.7	64.4	70.2	77.6	83.1	88.7	102.1	0.659	0.669
84	02042500	651.3	24.49	VA	45.7	86.0	124.9	192.2	258.8	342.6	627.8	0.395	0.614
85	02042780	6.4	14.22	VA	2.6	3.6	4.5	5.8	7.0	8.3	12.2	0.306	0.557
86	02044400	4.2	22.16	VA	5.5	16.1	30.6	64.7	108.8	178.1	517.9	0.392	0.573
87	02055000	994.3	18.65	VA	216.1	363.3	472.6	621.3	738.8	860.8	1165.8	0.286	0.614
88	02055100	30.3	14.73	VA	22.0	49.8	77.6	126.1	173.8	233.2	428.4	0.431	0.679
89	02056000	1319.5	23.56	VA	311.2	496.7	640.2	845.3	1015.2	1200.6	1698.7	0.345	0.627
90	02056650	144.5	18.67	VA	75.7	160.6	240.7	373.5	498.1	647.3	1110.6	0.226	0.596
91	02057500	2634.0	15.21	VA	451.4	735.7	964.8	1303.7	1594.5	1919.9	2834.5	0.341	0.622
92	02057700	2.0	71.86	VA	4.0	5.4	6.4	7.8	8.8	9.9	12.7	0.706	0.692
93	02059000	3673.5	12.18	VA	587.6	908.1	1152.8	1499.9	1786.2	2096.9	2928.0	0.327	0.612
94	02059450	28.4	10.81	VA	12.7	24.6	35.9	55.5	74.8	98.9	179.7	0.208	0.607
95	02060500	4615.3	10.91	VA	844.7	1294.1	1640.1	2134.0	2544.6	2993.1	4205.1	0.323	0.607
96	02061150	4.0	14.37	VA	4.0	10.8	19.1	36.3	56.0	84.1	199.2	0.374	0.623
97	02062500	6225.6	10.22	VA	887.2	1383.0	1792.2	2413.4	2959.1	3584.9	5414.2	0.245	0.605
98	02076400	5.2	19.11	VA	5.1	8.2	10.7	14.6	18.1	22.1	34.1	0.415	0.612
99	02076500	23.8	15.84	VA	14.1	26.4	36.8	52.5	66.2	81.5	124.6	0.411	0.592
100	02086849	56.7	20.3	EPAE	56.1	67.7	74.2	81.3	86.1	90.3	99.4	0.638	0.637
101	0208726005	196.8	16.7	EPAE	64.3	111.3	146.7	195.1	233.3	273.0	371.0	0.575	0.626
102	02087324	313.4	16.5	EPAE	97.4	154.3	206.4	294.5	376.6	481.4	818.4	0.629	0.631
103	0208732885	17.7	29.5	EPAE	26.0	47.9	67.1	98.0	126.3	159.7	261.9	0.792	0.692
104	02087359	77.2	21.3	EPAE	40.8	75.0	109.6	172.7	237.6	322.8	634.3	0.716	0.660
105	02087580	54.4	15.3	EPAE	52.1	78.2	101.7	139.3	174.7	217.8	354.0	0.674	0.642
106	0209399200	41.2	22.5	EPAE	31.4	57.5	77.6	106.2	129.4	154.3	217.2	0.701	0.656
107	02094659	19.0	41.2	EPAE	52.7	76.5	92.3	113.0	128.6	144.1	181.5	0.853	0.721
108	02094770	39.9	39.5	EPAE	47.3	63.4	73.9	87.5	97.4	107.3	131.1	0.839	0.718
109	02095000	88.1	35.5	EPAE	79.6	90.6	97.4	105.3	110.7	116.1	127.7	0.778	0.704
110	02095271	36.8	32.7	EPAE	58.0	78.4	90.9	105.3	115.2	124.6	144.7	0.844	0.695
111	02095500	96.1	28.8	EPAE	80.7	127.1	161.4	208.1	244.9	283.2	382.3	0.735	0.680
112	0209553650	229.2	27	EPAE	143.3	166.2	178.7	192.3	201.0	209.5	225.4	0.669	0.674
113	0209741955	54.6	14.4	EPAE	143.3	166.2	178.7	192.3	201.0	209.5	225.4	0.571	0.621
114	02115845	13.4	20	EPAE	45.9	56.9	64.0	72.2	78.4	84.4	98.3	0.850	0.699
115	0212414900	89.6	19.1	EPAE	85.0	141.6	194.0	281.8	368.1	470.1	818.4	0.660	0.651
116	0214266000	68.1	14.8	EPAE	27.7	50.1	71.6	108.7	145.0	190.6	345.5	0.576	0.633
117	02142900	42.5	21	EPAE	43.6	65.1	81.3	103.9	122.0	141.9	193.7	0.641	0.656
118	0214291555	81.6	17.4	EPAE	56.4	87.8	109.6	138.2	159.7	181.2	232.8	0.616	0.641
119	0214295600	26.9	20.4	EPAE	33.1	53.2	67.7	86.9	101.7	117.2	154.9	0.692	0.649
120	02145940	9.1	25.5	EPAE	24.7	28.6	30.9	33.1	34.8	36.2	39.1	0.812	0.655
121	02146211	15.5	26	EPAE	25.3	39.1	52.1	74.5	97.1	125.4	224.0	0.706	0.683
122	0214627970	23.5	32	EPAE	70.5	105.3	128.0	156.0	176.1	196.2	240.4	0.801	0.710
123	02146300	79.5	34.2	EPAE	116.4	167.1	206.1	261.4	305.8	356.8	492.7	0.793	0.712
124	02146315	14.8	36.8	EPAE	48.4	71.6	87.2	106.5	120.6	134.2	165.9	0.820	0.710
125	02146348	23.7	24.1	EPAE	22.4	33.4	40.5	49.0	54.7	60.3	71.9	0.541	0.664
126	02146381	169.1	32.4	EPAE	99.4	146.1	184.9	243.8	297.3	356.8	532.4	0.733	0.696
127	02146409	30.6	47.9	EPAE	94.0	120.6	133.9	147.5	155.7	162.5	174.7	0.869	0.764
128	0214642825	13.5	24.6	EPAE	41.9	59.7	73.9	94.6	112.1	132.0	188.0	0.800	0.662
129	0214645022	49.2	25	EPAE	75.3	111.6	138.8	176.1	206.4	239.3	325.6	0.806	0.670
130	02146470	6.8	32.8	EPAE	32.0	48.1	59.2	73.3	84.1	95.1	120.9	0.851	0.681
131	02146500	106.2	22	EPAE	110.2	151.5	178.7	213.2	238.7	264.2	325.6	0.828	0.698
132	02146507	110.3	32	EPAE	192.8	266.7	317.1	385.1	438.9	492.7	628.6	0.826	0.697
133	02146530	127.4	32	EPAE	137.3	194.0	236.7	294.5	342.6	393.6	529.5	0.823	0.696
134	0214655255	19.0	18.2	EPAE	33.7	77.0	114.7	171.0	217.8	268.4	399.3	0.725	0.650
135	02146562	14.8	26.4	EPAE	25.7	54.4	82.1	129.1	174.7	229.6	407.8	0.796	0.674
136	02146600	100.0	20.2	EPAE	105.3	145.3	170.8	202.2	224.8	247.8	300.2	0.700	0.652
137	02146700	18.0	21.3	EPAE	48.1	72.2	88.3	109.0	124.6	140.2	176.7	0.798	0.642
138	02146750	239.3	19.5	EPAE	145.0	201.3	235.0	274.1	300.2	325.6	376.6	0.725	0.648
139	0214678175	17.9	31.4	EPAE	27.0	40.2	50.1	64.0	75.3	87.8	120.1	0.704	0.689
140	02159785	1.0	19.3	EPAE	4.1	5.9	6.9	8.1	8.9	9.7	11.4	0.721	0.644
141	02160325	23.4	22.3	EPAE	21.3	34.3	49.8	82.4	121.2	178.7	441.7	0.704	0.658
142	02164000	125.9	18.8	EPAE	68.0	98.5	120.6	150.4	173.9	198.5	261.9	0.645	0.655
143	02164011	7.8	34.9	EPAE	26.7	33.1	36.5	40.2	42.8	44.7	48.7	0.832	0.696
144	02168845	1.0	26.6	EPAE	4.4	5.4	6.1	7.1	7.8	8.6	10.4	0.778	0.657
145	02203800	107.5	30.9	EPAE	107.6	159.7	189.2	221.7	242.7	261.4	297.3	0.680	0.679
146	02203835	8.9	16.8	EPAE	20.2	28.3	34.5	43.3	50.4	58.0	78.4	0.648	0.610
147	02203845	2.5	24.7	EPAE	12.1	16.7	19.0	21.2	22.5	23.5	25.2	0.721	0.638
148	02203884	4.9	27.7	EPAE	19.0	26.3	31.1	36.8	41.3	45.6	55.8	0.678	0.645
149	02203900	256.4	23.6	EPAE	148.9	215.2	256.6	305.8	339.8	371.0	438.9	0.645	0.650
150	02204070	471.4	20.2	EPAE	186.3	266.7	325.6	402.1	464.4	526.7	690.9	0.596	0.635
151	02205000	3.3	22.4	EPAE	8.5	18.1	26.2	37.9	47.6	58.0	84.4	0.720	0.655
152	02205230	0.9	15.4	EPAE	4.0	5.6	6.5	7.7	8.5	9.3	11.0	0.590	0.616
153	02205500	6.3	27.1	EPAE	15.3	31.7	48.7	80.7	114.7	159.7	328.5	0.685	0.652
154	02205596	18.7	22	EPAE	20.8	31.1	37.9	46.4	52.7	58.6	72.5	0.681	0.652
155	02206105	0.4	24.9	EPAE	2.4	3.6	4.4	5.6	6.5	7.4	9.6	0.704	0.613
156	02206136	0.9	23.8	EPAE	3.7	4.6	5.3	6.0	6.5	7.1	8.3	0.620	0.614
157	02206500	347.1	22.1	EPAE	102.8	161.7	207.6	271.6	325.6	382.3	535.2	0.656	0.659
158	02207000	14.3	14.3	EPAE	24.1	37.7	46.7	58.0	66.0	73.9	91.5	0.581	0.614
159	02207500	979.0	12.5	EPAE	156.0	270.4	393.6	625.8	877.8	1223.3	2593.8	0.549	0.625
160	02208050	25.8	22.4	EPAE	19.7	32.6	43.3	59.7	74.2	91.2	140.2	0.657	0.656
161	02217505	3.7	29.1	EPAE	14.3	19.0	22.5	27.2	31.1	35.4	46.7	0.815	0.673
162	02218565	14.7	16.4	EPAE	14.0	23.9	30.9	40.2	47.3	54.4	70.8	0.600	0.636
163	02334885	121.7	17.8	EPAE	50.4	86.9	115.5	155.7	188.3	224.0	317.1	0.570	0.642
164	02335347	0.5	32.1	EPAE	4.2	5.9	6.9	8.0	8.7	9.4	10.8	0.819	0.705
165	02335700	186.5	14.5	EPAE	57.8	100.5	132.2	175.0	208.4	243.2	328.5	0.555	0.634
166	02335870	79.5	20.3	EPAE	105.9	162.3	199.9	247.8	282.6	317.1	396.4	0.632	0.633
167	02336080	49.5	33.1	EPAE	61.7	68.0	72.5	78.4	83.0	87.8	100.0	0.684	0.684
168	02336102	6.0	22	EPAE	20.5	25.6	28.6	32.0	34.3	36.5	41.3	0.665	0.622
169	02336238	2.4	20.9	EPAE	16.6	20.9	23.9	27.9	30.9	34.0	41.9	0.740	0.629
170	02336300	224.8	31	EPAE	182.9	231.3	261.9	300.2	328.5	354.0	419.1	0.711	0.679
171	02336360	68.9	27.9	EPAE	69.1	88.9	101.9	117.8	129.7	141.6	169.1	0.674	0.662
172	02336635	81.6	19.9	EPAE	86.1	150.4	203.3	281.2	348.3	424.8	640.0	0.617	0.636
173	02336700	1.8	17.2	EPAE	8.5	10.8	12.2	13.8	15.0	16.1	18.5	0.681	0.612
174	02336705	22.8	19.6	EPAE	76.2	98.8	113.0	130.5	143.0	155.7	183.8	0.624	0.620
175	02341548	4.1	21	EPAE	11.6	16.3	19.3	23.1	26.0	28.9	35.7	0.718	0.666
176	02392975	87.0	24.2	EPAE	52.1	85.5	116.1	166.8	215.2	274.1	467.2	0.649	0.665
177	02395990	0.9	13.2	EPAE	3.1	4.6	5.5	6.6	7.3	7.9	9.3	0.734	0.615
178	02396550	0.6	25.1	EPAE	4.0	4.8	5.4	5.9	6.3	6.7	7.4	0.877	0.678
179	03165200	2.8	33.69	VA	2.6	4.9	6.7	9.4	11.8	14.3	21.2	0.492	0.609
180	03167300	1.7	10.01	VA	1.8	3.2	4.3	6.0	7.4	8.9	13.0	0.414	0.607
181	03167700	11.6	20.1	VA	9.1	14.3	18.4	24.5	29.7	35.5	51.7	0.456	0.605
182	03177700	103.0	26.83	VA	19.9	26.6	31.1	36.8	41.2	45.6	56.4	0.441	0.649
183	03177710	114.7	25.75	VA	21.0	29.1	34.6	41.5	46.7	52.0	64.4	0.364	0.610
184	03474700	21.2	16	VA	6.7	12.6	18.1	27.4	36.4	47.6	84.6	0.437	0.683
185	03474800	20.3	10.15	VA	9.6	21.2	31.2	46.3	59.0	72.9	109.8	0.419	0.693
186	03475600	8.9	20.51	VA	1.2	1.5	1.8	2.2	2.5	2.8	3.7	0.557	0.715
187	03475700	7.2	10.06	VA	3.8	6.4	8.4	11.0	13.2	15.4	20.9	0.522	0.714
188	03478400	69.8	14.42	VA	12.5	18.7	23.3	29.7	34.9	40.5	55.1	0.481	0.702
189	03524500	225.7	15.03	VA	78.6	125.4	166.4	232.1	292.8	365.3	591.8	0.288	0.623
190	03525800	1.8	16.53	VA	2.6	3.6	4.2	5.1	5.8	6.5	8.2	0.397	0.605
191	03530000	103.0	12.06	VA	65.0	91.5	109.3	131.8	148.6	165.4	205.3	0.255	0.599
192	06893300	68.6	36.3	MO	120.1	177.3	219.5	277.5	322.8	373.8	504.0	0.807	0.716
193	06893500	476.6	16.8	MO	286.0	447.4	574.8	761.7	920.3	1095.9	1588.6	0.640	0.691
194	06893560	40.4	32.7	MO	89.2	165.7	238.7	362.5	487.0	640.0	1152.5	0.844	0.708
195	06893562	46.9	33.1	MO	122.3	192.3	261.4	382.3	506.9	665.4	1237.4	0.844	0.711
196	06893600	12.9	31.2	MO	42.2	62.6	75.0	89.5	99.1	107.9	125.7	0.834	0.690
197	06894000	489.5	14.1	MO	140.7	245.8	334.1	475.7	597.5	741.9	1163.8	0.581	0.671
198	06910200	3.0	8.48	MO	9.4	15.4	19.5	24.8	28.6	32.6	41.3	0.477	0.638
199	06910230	182.1	5.15	MO	122.0	189.4	238.4	305.8	356.8	410.6	546.5	0.452	0.639
200	06910430	1.3	2.33	MO	2.6	5.5	8.4	13.6	18.9	25.7	49.0	0.672	0.625
201	06923000	2.0	14	MO	5.4	8.7	11.2	14.8	17.8	20.9	29.4	0.813	0.702
202	06929000	2.8	11.5	MO	5.6	11.8	17.3	25.9	33.4	41.9	66.3	0.526	0.669
203	06935800	2.0	25.2	MO	11.4	18.3	22.9	28.6	32.6	36.5	45.0	0.790	0.669
204	06935850	16.8	29.5	MO	39.4	54.1	64.6	78.4	89.2	100.5	129.1	0.744	0.664
205	06935890	57.5	26	MO	71.1	120.3	160.6	220.0	271.3	328.5	487.0	0.695	0.661
206	06935955	30.3	39.8	MO	62.3	91.2	110.7	135.4	153.8	172.2	215.5	0.847	0.734
207	06935980	8.8	42.3	MO	49.6	74.5	90.6	109.9	123.7	136.8	165.4	0.874	0.747
208	06936475	106.2	40	MO	149.5	205.9	239.6	278.6	305.8	331.3	382.3	0.826	0.625
209	07005000	61.6	32.8	MO	167.1	237.6	288.8	354.0	407.8	461.6	600.3	0.806	0.700
210	07010022	22.6	43.5	MO	92.3	116.4	130.8	147.5	159.1	170.2	194.0	0.876	0.737
211	07010030	5.0	26.5	MO	22.1	34.3	43.3	55.5	65.1	75.3	101.4	0.784	0.655
212	07010035	3.8	27.3	MO	18.1	30.6	38.8	48.7	55.2	61.4	74.2	0.757	0.669
213	07010086	94.0	31.6	MO	123.2	168.8	204.2	255.7	300.2	348.3	481.4	0.846	0.689
214	07010090	9.1	35.5	MO	35.7	46.4	52.4	58.0	61.7	64.6	70.2	0.808	0.699
215	07010180	47.1	37.2	MO	94.6	120.1	137.9	160.8	179.0	197.4	243.2	0.842	0.696
216	07010208	5.8	37.7	MO	30.0	44.2	53.8	66.3	75.9	85.2	108.2	0.858	0.714
217	07019317	20.4	39.4	MO	114.1	165.4	201.9	251.5	288.8	331.3	436.1	0.847	0.700
218	07048490	3.3	35.7	MO	18.1	25.8	31.4	39.4	45.6	52.4	69.9	0.813	0.695
219	07052000	50.5	46	MO	77.9	124.0	162.5	221.4	274.1	334.1	512.5	0.834	0.755
220	07052100	91.4	35.6	MO	69.4	111.9	150.1	212.9	271.8	342.6	572.0	0.736	0.725
221	07052160	151.3	17.8	MO	76.5	119.5	155.2	209.5	257.1	311.5	470.1	0.699	0.706
222	07063200	0.7	7.94	MO	3.5	5.9	7.6	9.6	11.1	12.5	15.6	0.685	0.678
223	07186600	109.6	13	MO	56.1	82.4	99.4	120.6	135.9	150.6	184.1	0.589	0.677
224	07195000	335.9	8.67	MO	156.3	297.3	407.8	560.7	682.4	812.7	1135.5	0.559	0.652
225	07195865	50.5	8.35	MO	48.1	81.3	107.0	143.3	173.0	205.3	288.8	0.541	0.631
